case_type,pending_days,evidence_pages,witness_count,priority_level,judge_load,delay_risk
Family,2796,2400,18,Critical,29,0
Corporate,2543,2377,44,High,101,0
Tax,128,1463,46,Medium,29,0
Criminal,1295,3700,20,Critical,21,0
Corporate,187,1768,23,Critical,118,0
Criminal,2687,2421,5,Medium,94,0
Tax,583,4939,1,High,103,0
Family,680,3191,45,Low,58,0
Tax,2997,4260,46,Critical,61,0
Family,2304,2026,2,Critical,19,0
Tax,2500,1806,16,Low,14,0
Corporate,2320,1429,5,Critical,73,0
Property,2607,1782,22,Low,67,0
Corporate,1098,929,1,Low,110,0
Criminal,1525,780,12,High,17,0
Corporate,2448,3260,19,Low,39,0
Civil,1908,2709,22,Low,26,0
Criminal,2729,550,42,Low,76,0
Tax,2766,1379,44,Low,30,0
Criminal,763,3838,48,Critical,25,0
Property,1980,2047,17,Low,105,0
Family,121,2580,13,Critical,36,0
Tax,2249,2197,39,Medium,15,0
Criminal,1657,1557,28,Medium,51,0
Tax,1245,1293,3,Low,25,0
Tax,1130,2801,5,High,54,0
Tax,1334,966,36,High,12,0
Family,1417,1318,15,Critical,49,0
Corporate,208,2531,17,Critical,29,0
Tax,2315,2208,44,Medium,113,0
Civil,2954,901,46,Critical,16,0
Property,2979,1867,29,High,68,0
Family,309,1995,4,Medium,20,0
Criminal,1072,4288,32,Low,102,0
Family,1648,4588,49,Critical,61,0
Criminal,2817,2984,43,Low,12,0
Family,400,3083,38,Critical,30,0
Criminal,1830,3148,4,High,62,0
Tax,2947,517,13,Critical,105,0
Corporate,1733,2236,20,High,39,0
Criminal,2298,1008,47,High,112,0
Criminal,2997,2628,18,Low,20,0
Civil,333,2495,49,Critical,90,0
Criminal,1378,4534,42,Low,34,0
Civil,1490,1390,37,High,59,0
Property,2515,3608,12,High,98,0
Tax,1223,2522,25,High,18,0
Civil,2452,4829,30,High,54,0
Corporate,2458,198,15,Medium,38,0
Tax,2091,1949,36,High,71,0
Civil,2820,2568,8,Critical,24,0
Tax,698,4854,28,High,28,0
Tax,529,131,22,Medium,24,0
Tax,1444,3239,49,Critical,48,0
Property,1602,734,38,Medium,44,0
Corporate,2642,1421,16,Medium,113,0
Family,559,2944,5,Critical,22,0
Family,2036,1401,46,Medium,25,0
Civil,2569,3147,34,High,76,0
Tax,1249,4928,49,Low,104,0
Civil,784,3031,38,Low,64,0
Property,2377,1228,11,Low,74,0
Property,844,3145,2,Critical,44,0
Criminal,2624,56,25,Critical,25,0
Property,756,1848,25,Critical,10,0
Criminal,760,3080,1,Low,59,0
Corporate,857,3361,31,Low,23,0
Civil,2679,3961,5,Critical,71,0
Corporate,1361,829,40,Low,16,0
Property,2076,3092,4,Medium,32,0
Corporate,2845,4138,5,Medium,108,0
Corporate,904,1546,5,Low,72,0
Corporate,2208,3539,16,Critical,38,0
Property,2033,4911,18,High,31,0
Tax,1707,515,43,High,89,0
Corporate,637,444,17,Low,102,0
Criminal,2103,2767,35,High,15,0
Property,1507,2085,18,Critical,91,0
Corporate,664,2002,4,Medium,38,0
Tax,1239,1488,31,Medium,98,0
Property,513,3820,31,Critical,118,0
Family,2757,1253,9,High,11,0
Tax,1104,1817,31,Low,117,0
Criminal,1944,584,5,Medium,73,0
Corporate,2082,3039,36,High,105,0
Family,618,1324,16,High,45,0
Family,2285,152,42,Medium,105,0
Property,2334,468,41,Medium,114,0
Family,1258,1850,16,Low,29,0
Criminal,2003,2178,20,Critical,64,0
Criminal,2088,3646,30,High,46,0
Civil,978,869,26,Low,115,0
Criminal,2085,3982,49,Medium,111,0
Tax,2109,1500,31,Critical,106,0
Family,2037,920,15,Critical,61,0
Criminal,2617,4874,41,High,78,0
Property,1771,1559,38,Critical,79,0
Civil,416,1919,38,Medium,31,0
Family,1281,2964,43,Medium,94,0
Civil,2717,4977,20,Medium,92,0
Family,1820,3264,35,Low,116,0
Property,1528,534,23,Medium,24,0
Civil,236,1611,44,Low,107,0
Corporate,1848,103,47,Medium,56,0
Tax,1810,3762,39,Medium,80,0
Tax,2634,4913,25,Critical,90,0
Family,2425,2147,22,High,117,0
Corporate,822,1621,47,Medium,117,0
Civil,2311,4637,8,Critical,78,0
Corporate,1754,1242,9,Critical,61,0
Corporate,1035,4349,15,High,48,0
Civil,2814,1862,48,Critical,11,0
Property,971,2311,20,Critical,100,0
Corporate,1195,1609,35,High,54,0
Corporate,2253,2916,37,Low,33,0
Property,1707,4508,3,High,114,0
Corporate,478,28,34,High,70,0
Corporate,621,4728,34,Medium,101,0
Corporate,111,734,36,Medium,74,0
Tax,2212,1947,35,Low,62,0
Criminal,2933,129,9,High,30,0
Property,1436,4949,30,High,101,0
Corporate,1510,285,26,Low,76,0
Tax,2517,3243,12,Medium,103,0
Property,1109,974,24,High,10,0
Family,2774,1369,41,Low,68,0
Family,448,1594,19,Medium,118,0
Corporate,117,2243,44,Critical,56,0
Tax,2733,3851,16,Low,118,0
Tax,244,3275,26,Low,27,0
Property,1788,1078,23,High,42,0
Property,2629,1977,33,Critical,24,0
Tax,1550,4964,42,Medium,33,0
Property,1747,3167,30,Critical,45,0
Tax,2580,2539,23,High,69,0
Criminal,2776,3673,10,High,43,0
Tax,2322,2590,36,Medium,99,0
Family,1531,2947,31,Medium,60,0
Property,338,3907,43,Medium,49,0
Tax,260,907,22,High,31,0
Tax,184,764,43,Medium,25,0
Property,1228,3534,43,Medium,113,0
Criminal,2925,2950,38,Medium,51,0
Criminal,144,2699,47,Low,25,0
Property,1443,195,2,Medium,14,0
Civil,340,585,23,High,15,0
Property,1022,3237,35,Low,51,0
Property,2377,4377,37,High,97,0
Criminal,1071,4646,32,Critical,39,0
Criminal,2861,1414,43,Low,110,0
Property,41,1240,12,Medium,41,0
Property,1457,967,35,Low,62,0
Property,2309,604,41,High,28,0
Criminal,2043,2882,3,Low,60,0
Property,759,1640,34,Critical,118,0
Property,1331,3375,38,Medium,37,0
Corporate,1406,2369,24,Medium,56,0
Civil,2066,3211,38,Critical,81,0
Family,2380,3227,17,High,116,0
Civil,570,2596,40,Low,10,0
Corporate,2547,551,1,High,77,0
Family,2890,1251,8,High,66,0
Property,106,2013,15,High,31,0
Corporate,53,1717,45,Medium,95,0
Property,1068,3390,25,Low,103,0
Criminal,705,1565,8,Medium,67,0
Tax,2602,3185,32,Medium,100,0
Corporate,2424,1457,13,Medium,100,0
Criminal,201,390,46,Low,22,0
Corporate,1922,4524,15,Critical,48,0
Corporate,2789,636,6,Medium,36,0
Criminal,518,4186,33,Medium,48,0
Family,1515,4034,7,Medium,111,0
Civil,2455,4199,33,Low,81,0
Property,2449,2276,47,Low,21,0
Corporate,786,4374,29,High,33,0
Property,2554,3330,38,Medium,27,0
Tax,2459,951,37,Medium,24,0
Criminal,184,2349,44,Low,69,0
Property,286,413,32,Low,25,0
Criminal,1809,2485,3,Medium,106,0
Property,703,3297,20,Critical,83,0
Civil,2145,1949,14,High,56,0
Civil,2421,645,28,High,33,0
Civil,702,4677,38,Medium,54,0
Civil,2468,2899,4,High,28,0
Civil,1502,3186,15,High,100,0
Civil,288,3442,17,Medium,118,0
Criminal,336,2129,37,High,50,0
Corporate,1148,1185,24,Low,40,0
Property,275,2801,38,Medium,94,0
Civil,2810,1911,42,Low,25,0
Criminal,1688,3202,41,Medium,32,0
Criminal,216,1659,36,Low,87,0
Criminal,1827,801,41,High,32,0
Corporate,954,4712,8,Critical,50,0
Property,814,2076,3,Low,27,0
Corporate,1625,2343,30,Low,45,0
Family,2485,2294,22,Critical,21,0
Criminal,1390,2253,33,Critical,110,0
Family,370,2658,25,Low,84,0
Tax,592,3307,30,Low,78,0
Civil,680,2500,37,Low,60,0
Civil,1223,2636,3,Medium,94,0
Corporate,98,375,4,Low,41,0
Property,1613,4507,29,Low,102,0
Family,2458,4694,32,Critical,80,0
Property,2134,3366,23,Critical,45,0
Corporate,1330,3542,19,Medium,49,0
Civil,2927,2487,15,Medium,100,0
Property,1152,183,16,High,79,0
Property,945,3654,23,Low,47,0
Civil,2402,4753,40,Low,63,0
Family,490,3683,46,Critical,13,0
Civil,2256,3274,37,High,55,0
Property,873,3401,1,Low,72,0
Family,603,2084,19,High,108,0
Family,148,4285,37,Medium,83,0
Civil,2626,4004,35,Low,111,0
Property,675,3907,30,Low,59,0
Corporate,1508,359,17,Medium,39,0
Property,2103,4841,39,Low,115,0
Criminal,1543,3801,49,Medium,82,0
Tax,2061,3610,26,Medium,25,0
Corporate,1061,1953,13,High,61,0
Family,998,1665,22,Critical,13,0
Corporate,2040,4248,46,Critical,35,0
Family,1569,2707,23,Medium,38,0
Family,2610,4938,44,High,101,0
Corporate,2226,2146,43,Medium,20,0
Family,1541,4461,33,High,101,0
Family,1078,4724,27,High,117,0
Criminal,684,658,35,Critical,105,0
Property,1984,1244,12,Critical,33,0
Property,584,3725,9,High,60,0
Tax,454,3930,34,Critical,51,0
Tax,322,4265,14,High,48,0
Criminal,1238,1569,37,Low,16,0
Tax,2631,4165,3,Medium,27,0
Corporate,460,1525,44,Critical,12,0
Civil,2681,4450,44,Medium,72,0
Civil,346,1395,21,Critical,117,0
Civil,427,687,7,Medium,119,0
Criminal,1377,2394,33,Medium,29,0
Criminal,1618,4110,35,Critical,107,0
Family,625,1035,11,Critical,103,0
Civil,2623,355,45,Critical,82,0
Corporate,2153,4781,32,Critical,83,0
Tax,2942,100,22,High,79,0
Corporate,1973,2154,42,Critical,26,0
Tax,945,1819,19,Critical,88,0
Civil,2786,277,36,Critical,106,0
Civil,2563,204,37,Low,68,0
Civil,2824,142,11,Medium,63,0
Criminal,1285,4720,41,Critical,22,0
Tax,2627,3534,13,Critical,51,0
Criminal,1005,1414,28,Medium,53,0
Criminal,1105,2372,49,Medium,95,0
Property,2996,3239,15,High,89,0
Corporate,1274,1328,13,Medium,107,0
Corporate,1481,3964,43,Medium,76,0
Family,1196,1961,33,Low,81,0
Criminal,2058,510,8,High,29,0
Tax,392,1074,32,Low,56,0
Property,2459,721,37,Medium,33,0
Property,2348,2954,48,Critical,60,0
Corporate,2375,4715,4,High,27,0
Criminal,263,1154,18,Medium,32,0
Family,2652,99,23,Medium,10,0
Criminal,1761,855,29,Critical,75,0
Civil,56,671,2,Critical,14,0
Criminal,1524,436,13,Critical,27,0
Civil,122,3700,16,High,89,0
Civil,2694,3886,8,Low,83,0
Family,338,765,19,High,102,0
Tax,81,2022,32,Critical,44,0
Corporate,348,259,3,High,34,0
Criminal,2022,2913,49,Critical,115,0
Civil,210,1964,32,Low,33,0
Criminal,1622,875,41,High,22,0
Tax,2952,3535,21,Low,30,0
Corporate,676,2666,25,Low,115,0
Tax,1991,3214,17,Critical,116,0
Corporate,1313,4535,25,High,48,0
Property,2274,4824,33,High,43,0
Corporate,2722,2618,31,Low,28,0
Family,2332,1373,36,Critical,37,0
Tax,2054,2055,23,Low,100,0
Civil,2809,2900,47,Low,99,0
Property,365,699,44,Low,20,0
Family,1606,506,25,Low,58,0
Criminal,1555,3640,49,High,44,0
Tax,1019,3670,44,Medium,93,0
Civil,2977,4738,48,High,85,0
Corporate,1308,1458,30,Critical,66,0
Civil,543,4334,13,Medium,37,0
Criminal,2059,1504,43,Low,75,0
Property,271,710,47,High,74,0
Property,2226,1032,29,Medium,82,0
Tax,1763,4562,16,Low,31,0
Property,2834,2367,38,High,60,0
Tax,2697,3728,27,Medium,113,0
Tax,2530,4490,26,High,100,0
Tax,2289,1942,11,Medium,18,0
Corporate,697,657,47,Critical,80,0
Family,623,3028,37,High,45,0
Tax,2208,2253,3,High,63,0
Tax,2689,2145,26,Medium,47,0
Family,285,3477,34,Critical,75,0
Civil,1532,4309,33,High,52,0
Tax,590,3194,15,Critical,14,0
Corporate,2140,3708,2,Critical,90,0
Property,1364,1419,28,High,46,0
Property,436,2354,20,Low,67,0
Criminal,2879,1525,38,Medium,72,0
Criminal,1890,269,44,High,108,0
Property,2092,555,16,Critical,60,0
Property,1740,3552,46,Medium,81,0
Corporate,288,3569,4,High,52,0
Family,752,477,8,Medium,76,0
Criminal,1312,2758,44,Medium,76,0
Family,643,3389,46,Critical,74,0
Corporate,1724,4155,20,Low,71,0
Property,2008,3716,26,Low,97,0
Tax,842,3431,32,Medium,118,0
Family,1816,4089,13,Critical,72,0
Property,360,3407,5,Critical,39,0
Property,2242,3205,44,High,115,0
Civil,1246,3258,42,Medium,99,0
Family,1574,280,13,High,47,0
Tax,1427,1267,41,Critical,116,0
Family,416,3353,11,Medium,113,0
Property,1548,3342,37,Low,60,0
Tax,1847,2593,32,Low,116,0
Corporate,1847,145,45,High,47,0
Civil,1844,1249,42,Medium,117,0
Property,2405,3231,18,Critical,76,0
Criminal,1545,3153,29,High,86,0
Criminal,1270,1326,15,Low,109,0
Civil,349,2121,20,Critical,114,0
Corporate,428,155,44,Medium,57,0
Property,1944,2397,36,Low,21,0
Family,134,1479,5,Critical,29,0
Civil,725,4251,40,Low,112,0
Corporate,359,832,37,Medium,117,0
Family,689,871,33,High,81,0
Criminal,2676,1764,18,Critical,11,0
Criminal,850,1958,19,Critical,84,0
Family,2002,890,32,Medium,94,0
Civil,2718,654,42,Low,110,0
Criminal,1823,688,22,Low,64,0
Property,2391,1313,41,Low,15,0
Tax,491,3108,1,Critical,92,0
Family,1637,288,25,Critical,103,0
Family,2563,880,20,Low,119,0
Criminal,1705,501,35,Critical,112,0
Civil,2487,3310,45,High,117,0
Property,2104,3410,6,Medium,71,0
Civil,300,1281,6,Medium,58,0
Corporate,2763,2352,37,Critical,109,0
Corporate,2578,122,49,High,93,0
Tax,414,3814,3,High,63,0
Criminal,89,4907,37,Low,19,0
Criminal,1160,4354,31,Medium,33,0
Criminal,249,2712,35,Medium,106,0
Tax,1494,3691,45,Medium,38,0
Corporate,2848,901,15,Critical,103,0
Civil,1936,2255,17,High,109,0
Tax,2641,3054,15,Low,118,0
Tax,1625,4909,5,Critical,15,0
Civil,2623,2597,22,Low,67,0
Criminal,125,695,46,Critical,87,0
Property,1018,2459,11,Medium,66,0
Civil,1142,1701,28,Low,12,0
Corporate,2905,1296,14,High,33,0
Family,1975,4787,39,High,28,0
Family,2308,3267,3,Critical,111,0
Tax,997,4954,42,Medium,107,0
Family,2352,3668,11,Critical,18,0
Property,275,1332,30,Low,39,0
Criminal,2188,1093,38,High,105,0
Corporate,263,4119,5,High,86,0
Property,2494,1674,22,High,91,0
Corporate,2755,3767,13,High,53,0
Corporate,1181,4108,44,Low,62,0
Criminal,1290,1913,21,High,95,0
Tax,832,1305,37,Critical,77,0
Family,2696,554,25,High,69,0
Criminal,2784,3467,21,Low,32,0
Property,2928,1399,28,Medium,70,0
Tax,1447,665,41,Medium,16,0
Property,2552,43,4,High,53,0
Tax,684,4672,29,Medium,64,0
Property,2472,4471,47,Low,84,0
Criminal,140,4985,35,High,48,0
Tax,119,4690,23,Low,68,0
Tax,792,4144,7,Medium,115,0
Corporate,1333,384,46,Medium,114,0
Corporate,1386,2675,46,High,107,0
Civil,2209,428,9,Medium,14,0
Property,1066,1334,23,High,51,0
Corporate,2534,238,3,High,98,0
Civil,1494,4723,9,Critical,101,0
Corporate,127,1559,4,Critical,23,0
Property,1173,3453,49,Critical,36,0
Tax,322,4973,25,Low,25,0
Family,1869,1622,6,Medium,100,0
Property,1764,2724,48,Medium,11,0
Criminal,1054,3668,18,Critical,28,0
Corporate,2649,1125,45,High,32,0
Corporate,2327,3431,7,High,50,0
Tax,681,2508,35,High,23,0
Criminal,2226,636,31,High,56,0
Tax,2121,4341,38,Low,72,0
Criminal,1936,2438,32,Medium,99,0
Family,1751,47,35,Critical,17,0
Corporate,1097,3075,28,Low,36,0
Corporate,2239,35,44,Medium,49,0
Family,1846,3368,5,Low,37,0
Civil,282,352,30,High,77,0
Tax,161,4598,22,Low,70,0
Family,1937,4681,17,Low,47,0
Tax,1940,2181,10,High,84,0
Property,2551,2105,7,High,117,0
Corporate,1709,4569,4,Critical,33,0
Tax,1162,3973,42,Critical,37,0
Criminal,2783,2809,27,Medium,50,0
Tax,1088,4281,7,Critical,27,0
Property,1955,2272,23,Critical,58,0
Corporate,2352,4993,11,Medium,94,0
Family,216,264,8,Low,35,0
Property,978,1914,8,Low,12,0
Corporate,2320,1376,37,Low,86,0
Tax,293,962,5,High,47,0
Civil,2027,3487,7,Medium,101,0
Civil,551,3212,22,Low,23,0
Criminal,1594,1765,36,Critical,10,0
Corporate,812,4525,2,Critical,101,0
Civil,564,2377,24,Critical,109,0
Family,239,3899,2,Medium,20,0
Corporate,2123,3797,48,Medium,116,0
Family,1593,2135,12,Critical,49,0
Family,55,2287,47,High,13,0
Civil,204,2287,42,High,43,0
Corporate,1569,1516,26,Low,74,0
Tax,1364,2816,38,Low,65,0
Property,351,4501,45,Low,19,0
Civil,1632,949,6,Low,90,0
Civil,1188,3344,23,Low,80,0
Tax,84,4520,2,Medium,112,0
Corporate,1596,4607,26,Medium,73,0
Corporate,1639,376,14,High,22,0
Family,1902,4330,18,High,31,0
Tax,2745,4084,38,Medium,65,0
Tax,2224,3861,32,High,74,0
Corporate,1538,3950,14,Critical,101,0
Family,2676,4867,30,High,106,0
Civil,2097,846,13,Critical,22,0
Criminal,362,685,40,Critical,10,0
Property,1608,2048,31,Low,47,0
Civil,936,3711,37,High,67,0
Corporate,940,2602,45,Critical,34,0
Property,430,573,38,High,51,0
Criminal,979,347,22,High,94,0
Criminal,1359,1208,28,Medium,42,0
Family,2105,169,19,Medium,66,0
Property,2544,4772,43,Low,46,0
Family,1940,2873,16,High,66,0
Civil,130,1956,5,Medium,107,0
Tax,580,4408,44,Critical,71,0
Tax,2879,2756,49,Critical,12,0
Tax,2430,976,2,Low,39,0
Property,1735,3268,10,Critical,76,0
Tax,2373,435,47,High,72,0
Civil,382,3474,19,Critical,91,0
Family,2985,2665,20,Low,32,0
Property,1048,3794,29,Low,81,0
Family,1209,104,25,Critical,82,0
Property,1127,1955,17,High,75,0
Family,2532,1436,13,Medium,70,0
Criminal,2789,1090,45,High,11,0
Family,1009,3432,16,High,36,0
Tax,1385,1541,35,High,57,0
Criminal,768,1521,36,Critical,112,0
Family,1006,4111,39,Medium,72,0
Property,1401,2493,3,High,109,0
Property,2310,755,9,Medium,14,0
Property,1831,2858,40,Low,10,0
Corporate,2179,2582,46,Medium,31,0
Civil,982,3926,29,Critical,83,0
Property,510,1292,5,Low,118,0
Criminal,1267,4856,3,Low,33,0
Property,137,1882,10,High,68,0
Corporate,1002,4246,31,Medium,88,0
Tax,1656,1783,11,Low,106,0
Criminal,733,4438,17,Low,59,0
Corporate,2412,842,40,Medium,32,0
Tax,2163,562,41,Medium,87,0
Criminal,2811,2785,8,Low,27,0
Family,904,2098,2,Low,98,0
Civil,1477,904,4,Medium,31,0
Civil,2441,4306,16,Critical,53,0
Corporate,2137,3669,41,Medium,53,0
Tax,1303,4530,41,Critical,46,0
Civil,589,3591,21,Low,16,0
Tax,146,3953,5,High,99,0
Tax,903,3686,35,Medium,33,0
Corporate,2992,1741,14,Low,86,0
Corporate,997,394,15,Low,50,0
Corporate,1598,577,6,High,79,0
Civil,73,1300,16,Medium,94,0
Corporate,538,3443,23,Low,80,0
Civil,2041,1148,31,Critical,27,0
Corporate,1218,1380,42,High,88,0
Property,1345,3617,46,Critical,81,0
Tax,878,1120,12,Medium,69,0
Corporate,1909,1554,41,Critical,61,0
Criminal,946,2645,19,High,89,0
Tax,2975,4147,12,Low,58,0
Tax,828,1651,45,High,76,0
Corporate,905,77,13,Low,54,0
Family,1790,1147,49,Low,18,0
Corporate,2363,331,2,Critical,35,0
Tax,2761,3737,20,High,35,0
Criminal,848,2021,31,High,39,0
Tax,2198,2757,9,Low,36,0
Criminal,974,3897,21,High,89,0
Civil,936,2302,8,Medium,13,0
Property,42,3203,39,Medium,60,0
Tax,632,1451,37,Critical,92,0
Corporate,229,3145,29,Critical,107,0
Civil,2663,4917,19,High,79,0
Property,1821,4354,35,Critical,118,0
Corporate,477,1795,45,High,88,0
Family,1841,1338,38,Critical,19,0
Corporate,870,4227,26,Medium,115,0
Criminal,619,3179,11,Low,45,0
Criminal,1183,1348,36,Low,55,0
Family,2966,4405,35,Medium,113,0
Civil,2120,3994,4,Low,15,0
Property,549,4697,3,High,117,0
Corporate,1066,4485,45,High,113,0
Criminal,754,239,47,Medium,79,0
Civil,2700,3322,12,Medium,88,0
Family,1017,2886,32,Medium,102,0
Tax,832,1916,47,Medium,98,0
Criminal,2612,4464,26,Low,92,0
Family,2379,2322,43,Low,87,0
Corporate,556,4567,43,Low,12,0
Property,1695,4204,13,High,59,0
Criminal,1168,4986,44,Critical,51,0
Criminal,489,3746,38,High,119,0
Corporate,2909,2062,29,Critical,87,0
Tax,2582,542,19,Medium,63,0
Civil,961,2727,35,Medium,112,0
Property,2016,3018,48,Low,48,0
Criminal,354,3941,41,Low,94,0
Property,608,929,27,Critical,64,0
Criminal,2838,4557,46,Critical,20,0
Property,2928,4153,31,Low,83,0
Family,1567,1900,3,Medium,88,0
Criminal,2579,3299,35,Low,39,0
Property,2030,4325,24,Medium,117,0
Civil,2411,2580,7,Medium,90,0
Family,2361,3092,35,High,65,0
Family,504,3846,21,High,38,0
Civil,1107,4496,1,Critical,26,0
Property,1511,2895,44,Medium,42,0
Corporate,1632,2926,6,Low,111,0
Civil,1473,4509,39,Medium,30,0
Property,661,4511,34,Critical,87,0
Civil,732,564,18,Medium,19,0
Civil,2486,3117,25,Medium,115,0
Criminal,1011,3645,15,Critical,96,0
Property,1357,3525,47,Medium,112,0
Corporate,1988,1104,32,High,48,0
Criminal,588,572,42,Critical,87,0
Civil,251,1173,49,High,56,0
Tax,1586,3958,18,Critical,95,0
Civil,2235,2265,31,Medium,61,0
Civil,377,1706,29,High,50,0
Property,1212,713,15,High,101,0
Property,918,3810,23,Low,56,0
Criminal,951,517,38,High,82,0
Corporate,1288,2115,41,High,96,0
Criminal,2739,632,11,Medium,80,0
Family,434,3987,15,High,97,0
Civil,1310,395,23,High,52,0
Tax,706,825,3,High,46,0
Civil,618,940,19,Medium,82,0
Civil,1650,4990,1,Critical,73,0
Criminal,2635,3624,24,Medium,111,0
Tax,2982,1463,49,High,80,0
Tax,2556,1565,11,Critical,69,0
Tax,2564,1230,30,Medium,96,0
Criminal,1624,2100,11,Medium,34,0
Civil,595,4707,39,Critical,119,0
Criminal,2601,2168,1,Low,31,0
Property,733,1528,12,High,52,0
Property,2898,933,4,Low,80,0
Criminal,887,2800,25,High,79,0
Tax,1314,409,8,High,45,0
Civil,614,4069,15,Low,55,0
Criminal,2763,4275,43,Low,31,0
Criminal,261,3645,30,High,44,0
Criminal,2347,1090,40,Critical,56,0
Family,2951,4811,32,Critical,42,0
Property,1275,4873,44,Low,94,0
Tax,81,2590,35,Low,84,0
Corporate,2193,3757,21,Medium,22,0
Tax,567,2799,31,Critical,65,0
Corporate,570,358,36,Critical,76,0
Family,1072,1996,27,High,22,0
Criminal,844,3456,44,Medium,59,0
Family,1445,814,8,High,114,0
Family,2868,1742,23,Medium,66,0
Civil,1682,3239,23,Critical,107,0
Property,2695,918,42,High,37,0
Corporate,448,122,33,Medium,113,0
Criminal,2386,2879,13,High,107,0
Corporate,893,4208,39,Medium,105,0
Tax,215,1467,35,Low,96,0
Corporate,290,4234,16,High,97,0
Tax,1581,2052,12,Low,74,0
Property,1326,4052,31,Medium,33,0
Tax,2237,3080,5,High,76,0
Corporate,2947,1554,40,Medium,90,0
Corporate,791,2867,44,Medium,16,0
Tax,253,3229,25,Low,83,0
Family,1309,4590,21,High,92,0
Property,209,3483,3,Critical,33,0
Civil,2097,454,48,Medium,18,0
Criminal,1677,1277,10,Low,24,0
Corporate,661,74,23,Critical,65,0
Criminal,1566,950,17,Low,95,0
Civil,2135,2819,42,Low,26,0
Criminal,2800,331,35,Low,28,0
Civil,1993,976,25,Medium,18,0
Tax,644,4103,2,Critical,73,0
Family,591,4872,27,Medium,66,0
Corporate,2451,2532,46,Medium,47,0
Civil,651,1283,9,High,92,0
Criminal,2165,2767,49,Critical,17,0
Corporate,1043,2802,4,High,15,0
Family,2091,1113,26,Low,58,0
Tax,2210,2806,32,Critical,111,0
Corporate,1990,2835,29,Critical,54,0
Civil,1087,3783,22,Medium,30,0
Family,2969,4055,47,Low,102,0
Criminal,621,4859,13,Medium,43,0
Family,612,2343,23,High,21,0
Family,1643,252,31,Low,48,0
Property,1131,2121,41,Medium,105,0
Family,318,4372,36,Medium,15,0
Family,1598,2048,40,Medium,90,0
Corporate,2956,1949,31,Low,41,0
Criminal,1473,1478,15,High,69,0
Corporate,36,1668,14,Critical,17,0
Corporate,1213,427,35,Medium,47,0
Civil,269,3360,24,Low,102,0
Corporate,2016,1997,30,Critical,104,0
Property,1476,2433,30,Medium,28,0
Property,2613,4957,27,Low,64,0
Civil,1779,1780,49,High,18,0
Tax,2147,3617,40,Medium,61,0
Criminal,1933,1398,14,Low,37,0
Criminal,2293,640,45,Medium,71,0
Corporate,1107,949,47,Low,57,0
Corporate,2883,994,11,High,48,0
Tax,2407,4507,47,High,113,0
Corporate,877,4467,44,Low,62,0
Criminal,1341,2873,26,Critical,104,0
Family,2122,1709,21,High,72,0
Property,2906,4691,9,Medium,28,0
Family,2275,4638,47,High,42,0
Family,1269,745,1,Medium,73,0
Criminal,1534,181,44,High,35,0
Family,1362,678,6,High,54,0
Tax,2973,2917,1,Medium,10,0
Civil,2409,4639,22,High,84,0
Corporate,725,4119,13,Medium,75,0
Civil,56,2562,38,Medium,44,0
Property,2395,1598,49,High,86,0
Corporate,2442,4014,45,High,112,0
Family,989,1094,41,Medium,107,0
Property,1556,3225,40,Low,107,0
Corporate,1898,4064,31,High,108,0
Tax,402,3453,15,Critical,105,0
Tax,1979,897,2,High,54,0
Tax,274,1111,31,Low,85,0
Tax,1870,3079,26,Low,42,0
Family,1706,1694,2,High,91,0
Civil,2555,1628,11,High,78,0
Corporate,154,2846,33,Critical,92,0
Family,566,1237,18,High,40,0
Tax,2783,3072,21,Low,100,0
Civil,1949,333,31,Critical,73,0
Property,1665,749,26,High,115,0
Property,1455,4059,30,Critical,111,0
Property,1570,403,39,Critical,24,0
Tax,560,1832,21,Low,55,0
Property,2863,2344,49,Low,57,0
Criminal,283,3449,16,Medium,77,0
Corporate,2198,2765,7,Low,92,0
Corporate,690,1884,22,Medium,94,0
Tax,1831,3311,7,Low,49,0
Criminal,1090,4866,2,Low,10,0
Family,1395,247,37,Medium,29,0
Family,1066,2084,14,Medium,31,0
Property,1236,31,8,Medium,63,0
Civil,2165,1542,29,Critical,86,0
Family,2123,711,44,Medium,114,0
Civil,1172,3725,7,Critical,74,0
Corporate,1584,1759,38,Critical,24,0
Civil,1785,1545,45,Medium,70,0
Corporate,1995,89,22,Medium,88,0
Criminal,774,2268,44,Medium,23,0
Criminal,1659,3143,17,Low,78,0
Tax,996,4744,16,Low,58,0
Tax,792,3350,33,Medium,15,0
Property,2839,1307,39,High,50,0
Family,823,595,35,Medium,40,0
Property,773,2192,38,High,99,0
Corporate,1099,4974,32,Low,73,0
Property,1561,764,3,Low,98,0
Civil,587,2547,3,High,60,0
Corporate,2024,3093,8,Low,68,0
Tax,555,4230,46,Medium,64,0
Criminal,2674,4596,31,High,58,0
Tax,869,1044,9,High,112,0
Family,32,961,5,Critical,49,0
Corporate,1081,787,28,Low,24,0
Corporate,1434,2458,15,High,79,0
Civil,186,853,49,High,74,0
Family,2932,2210,27,High,114,0
Criminal,1967,647,42,Low,16,0
Corporate,1984,396,31,High,71,0
Corporate,540,3906,40,High,63,0
Civil,716,109,18,Medium,61,0
Property,1167,2875,38,Medium,60,0
Criminal,1442,1085,49,Critical,13,0
Tax,1540,1078,4,High,10,0
Family,600,3079,21,Low,114,0
Corporate,744,4092,47,Critical,75,0
Corporate,1368,2620,42,Critical,107,0
